text,english_translation,label,category,flag
"बेटा, ये मेरा नया नंबर है, पुराना फोन टूट गया। अभी 12000 रुपये इस नंबर पर भेज दो, कल लौटा दूंगा।","Son, this is my new number, my old phone broke. Send 12000 rupees to this number right now, I'll return it tomorrow.",1,family_emergency,
"मम्मी मैं हूं, अस्पताल में हूं, बाइक एक्सीडेंट हो गया। डॉक्टर 18000 रुपये अभी मांग रहे हैं ऑपरेशन के लिए।","It's me, mom, I'm in the hospital, I had a bike accident. The doctor is asking for 18000 rupees right now for the operation.",1,family_emergency,
"पापा, थाने से बोल रहा हूं, गाड़ी का चालान कट गया और मामला बढ़ गया है। जमानत के लिए 9000 रुपये इस UPI पर भेजिए अभी।","Dad, I'm calling from the police station, there was a traffic case and it's escalated. Send 9000 rupees to this UPI right now for bail.",1,family_emergency,
"दीदी, मेरा वॉलेट कहीं गिर गया, कार्ड और नकद दोनों गया। स्टेशन पर फंसा हूं, 3000 भेज दो टिकट के लिए।","Sister, my wallet fell somewhere, I lost both the card and cash. I'm stuck at the station, send 3000 for a ticket.",1,family_emergency,
"चाचा जी, मैं रोहन बोल रहा हूं, नया सिम लिया है इसलिए नंबर अलग है। घर वालों को मत बताना, अभी 25000 चाहिए किसी काम के लिए, शाम तक लौटा दूंगा।","Uncle, this is Rohan, I got a new SIM so the number is different. Don't tell the family, I need 25000 right now for something, I'll return it by evening.",1,family_emergency,
"मां, मेरा फोन चोरी हो गया, दोस्त के नंबर से लिख रही हूं। कॉलेज की फीस के लिए 7500 अभी चाहिए, कल जमा करनी है वरना नाम कट जाएगा।","Mom, my phone was stolen, I'm writing from a friend's number. I need 7500 right now for college fees, has to be deposited tomorrow or my name will be struck off.",1,family_emergency,
"भाई साहब, मैं आपके बेटे का दोस्त हूं। उसका एक्सीडेंट हुआ है नेशनल हाईवे पर, अभी होश में नहीं है। अस्पताल वाले 15000 एडवांस मांग रहे हैं भर्ती के लिए।","Sir, I'm your son's friend. He's had an accident on the national highway, he's not conscious right now. The hospital is asking for 15000 advance to admit him.",1,family_emergency,
"पापा जल्दी सुनो, कस्टम वालों ने मुझे एयरपोर्ट पर रोक लिया है, कुछ पेपर की गड़बड़ी बता रहे हैं। अभी 20000 भेजो नहीं तो सामान जब्त हो जाएगा।","Dad listen quickly, customs officials have stopped me at the airport, they're saying there's some paperwork issue. Send 20000 right now or the luggage will be seized.",1,family_emergency,
"आपका पार्सल मुंबई कस्टम में रुका है, अंदर विदेशी सामान घोषित नहीं किया गया। 850 रुपये ड्यूटी भरकर इस लिंक से रिलीज़ कराएं।","Your parcel is held at Mumbai customs, foreign goods inside were not declared. Pay 850 rupees duty and release it via this link.",1,courier_customs,
India Post: आपका पैकेट डिलीवरी एड्रेस गलत होने के कारण वापस भेजा जा रहा है। सही पता अपडेट करने के लिए 49 रुपये चार्ज भरें।,India Post: your packet is being returned because the delivery address is wrong. Pay a 49 rupee charge to update the correct address.,1,courier_customs,
"Bluedart डिलीवरी बॉय दो बार आ चुका है, घर पर कोई नहीं मिला। रीशेड्यूल करने के लिए 30 रुपये का हैंडलिंग चार्ज इस लिंक पर भरें।","The Bluedart delivery boy has come twice, no one was found at home. Pay a 30 rupee handling charge at this link to reschedule.",1,courier_customs,
"आपका इंटरनेशनल कोरियर सिंगापुर से आया है, कस्टम क्लीयरेंस के लिए 1200 रुपये इंपोर्ट ड्यूटी बकाया है, आज ही जमा करें वरना पार्सल वापस भेज दिया जाएगा।","Your international courier has arrived from Singapore, 1200 rupees import duty is due for customs clearance, deposit it today or the parcel will be sent back.",1,courier_customs,
DTDC: आपका शिपमेंट वेयरहाउस में होल्ड पर है क्योंकि GST डिटेल मैच नहीं हुई है। 199 रुपये वेरिफिकेशन फीस भरकर आगे बढ़ाएं।,DTDC: your shipment is on hold at the warehouse because the GST details did not match. Pay a 199 rupee verification fee to proceed.,1,courier_customs,
"नमस्ते, मैं Ekart से बोल रहा हूं। आपका ऑर्डर डिलीवर नहीं हो पाया क्योंकि पिन कोड मिसमैच है। दोबारा भेजने के लिए 60 रुपये री-डिस्पैच चार्ज देना होगा।","Hello, I'm calling from Ekart. Your order could not be delivered because the pin code did not match. A 60 rupee re-dispatch charge is required to send it again.",1,courier_customs,
"आपके नाम एक पार्सल थाईलैंड से आया है जिसमें इलेक्ट्रॉनिक सामान है, कस्टम ड्यूटी 2400 रुपये बकाया है। भुगतान न होने पर पार्सल जब्त कर लिया जाएगा।","A parcel has come in your name from Thailand containing electronic goods, 2400 rupees customs duty is due. If not paid, the parcel will be confiscated.",1,courier_customs,
