text,label
"Gambler wins �7,000 - and spends it all on horse shiat
URL: http://www.newsisfree.com/click/-4,8293091,1717/
Date: 2002-09-26T23:40:17+01:00

(Bath Chronicle)",0
Update your Google billing info within 48 hours to avoid service interruption.,1
"Re: problems with 'apt-get -f install'
I have failed dependencies in RPM database to I am unable to use
apt-get. I requests to run 'apt-get -f install' to fix these
dependencies, however, I get these errors when running 'apt-get -f
install' :

[root@localhost root]# apt-get -f install
Processing File Dependencies... Done
Reading Package Lists... Done 
Building Dependency Tree... Done
Correcting dependencies... Done
The following extra packages will be installed:
 libgcj 
The following NEW packages will be installed:
 libgcj 
0 packages upgraded, 1 newly installed, 0 to remove(replace) and 68 not
upgraded.
Need to get 2407kB of archives. After unpacking 8598kB will be used.
Do you want to continue? [Y/n] Y
Get:1 http://apt-rpm.tuxfamily.org redhat-7.2-i386/redhat/os libgcj
2.96-27 [2407kB]
Fetched 2407kB in 22s
(105kB/s) 
Executing RPM (-U)...
Preparing... ###########################################
[100%]
 1:libgcj error: unpacking of archive failed on file
/usr/share/libgcj.zip;3c5b5e75: cpio: MD5 sum mismatch
E: Sub-process /bin/rpm returned an error code (1)
[root@localhost root]# 

_______________________________________________
RPM-List mailing list <someone@example.com>
http:",0
"Toners and inkjet cartridges for less.... T
 
 
 

 
 Tremendous Savings 
on Toners,  
 
Inkjets, FAX, and Thermal Replenishables!! 
 Toners 2 Go
 is your secret
weapon to lowering your cost for High Quality,
Low-Cost printer
supplies!  We have been in the printer
replenishables business since 1992,
and pride ourselves on rapid response and outstanding
customer service. 
What we sell are 100% compatible replacements for
Epson, Canon, Hewlett Packard,
Xerox, Okidata, Brother, and Lexmark; products that
meet and often exceed
original manufacturer's specifications. 
 Check out these
prices! 
         Epson Stylus
Color inkjet cartridge
(SO20108):     Epson's Price:
$27.99    
Toners2Go price: $9.95! 
        HP
LaserJet 4 Toner Cartridge
(92298A):           
HP's
Price:
$88.99           
 Toners2Go
 price: $41.75! 
   
 Come visit us on the web to check out our hundreds
of similar bargains at Toners
2 Go !
 

 
 
 request to be removed by clicking HERE 
 
 
 
derekw

http://xent.com/mailman/listinfo/fork",1
Quick question — are we still meeting at 2:30 PM Wednesday?,0
"Re: Goodbye Global Warming
Of the three lying politicians, which liar would you take?

----- Original Message ----- 
From: ""John Hall"" <someone@example.com>
To: ""FoRK"" <someone@example.com>
Sent: Monday, September 23, 2002 2:23 PM
Subject: RE: Goodbye Global Warming",0
"Get Big, Ripped & Strong!! Deca, D-BOL, Winni-V!1095
 
 
GET BIG, RIPPED, & STRONG! REAL ANABOLIC PHARMACEUTICALS!* 
 
- D-BOL 
- WINNI-V 
- EQUIPOSE 
- GHB 
- and More! 
 
- CLICK HERE TO ENTER =====> SDI-LABS ANABOLICS 
 
(Please click on the link below or copy and paste the following url into your browser if above link does not work.) 
http://www.sdilabs01-02.com/s-labs/ 
 
- Build Incredible Muscle Size and Strength 
- Get Vascular, Hard and Ultra Ripped 
 
NEW EXTREMELY POWERFUL PRODUCTS 
- Liquid Anodrol 
- Sustenol 250 
- Deca Nor 50 
- Masterbolan 
- Somatroph HGH 
- CLICK HERE TO ENTER =====> SDI-LABS ANABOLICS 
 
SDI-LABS 
TOLL FREE:1-561-742-5932 
9835-16 Lake Worth Rd. #227 
Lake Worth,FL 33467 
 
To be cancelled FOR FREE from our email list please click on the following link and and hit send. Your email address will be removed within 24 hours. someone@example.com
If above link does not work please send an email with the word cancel in the subject to someone@example.com 
 
If you have previously cancelled and are still receiving this message, or need to speak with us regarding this email, you may call our ABUSE CONTROL CENTER immediately Toll Free at 1-888-425-6788 or e",1
"All Satellite Channels Free !! 712

<HTML>
<BODY>
Free sports, Free xxx Movies, Free Pay perview.
</b></font></center><BR>
<center>

<font size=""5""><font color=""red""><b>Get All Satellite Channels Free !!
</b></font><BR>

<BR><BR>
<blockquote>
<ul>
<font size=""4""><font color=""blue"">
Now your can program your satellite system to get all<BR>
channels free. This include Direct Tv, Dishnetwork <BR>
and Gla. Our satellite programming packages comes with<BR>
everything your need to program your satellite system.<BR>
The software is ease as 1,2,3 to use and it takes less<BR>
that 5 minute to program your satellite system. There <BR>
are company that will charge you up to $600 to do this<BR>
for you and everytime your card needs to be reset they <BR>
charge you an extra $100.00 Now you can do it yourself for :<BR><BR>

<font size=""5""><font color=""brown""><b>Only $99.00
</b></font><BR><BR>

<font size=""5""><font color=""red""><b>
<a href=""mailto:someone@example.com"">Email us </a></b></font>
for order information.

</ul>
</blockquote>

</center>

<html>
<p><p><p><p><p><p><p><p><p><p>

<html><p><BR><p><center><p><font size=""4""><font color=""blue""><b><p>
</BODY>
</HTML>",1
"Re: storage bits
On 11 Sep 2002, Gary Lawrence Murphy wrote:

Because ~10 krpm server SCSII doesn't follow the curve. Most rackspace is
ridiculously expensive/unit, so people don't use low end EIDE hardware 
there.",0
Quick question — are we still meeting at 2:30 PM Monday?,0
"[ILUG-Social] Everybody Gets Paid - No Recruiting Needed
Everybody gets paid. No recruiting required.

Join and reserve a position for free now.
Program is 18 weeks old and it's paying.

Everybody gets in line to get paid by all
the new people coming in (but it's NOT a
traditional straightline)...EVERYONE makes money...
and those that sponsor make more....

<html>
<a href=""mailto:someone@example.com?subject=send-more-info""<b>
Click here to request for more information</b></a>

<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>
<br>

<a href=""mailto:someone@example.com?subject=REMOVE""<b>
We belong to the same opt-in list. But if wish to have your email
address REMOVE from our database please click here</b></a>
</html>

-- 
Irish Linux Users' Group Social Events: someone@example.com
http://www.linux.ie/mailman/listinfo/social for (un)subscription information.
List maintainer: someone@example.com",1
"Brother, Can You Spare a Jet?
To view this newsletter in full-color, visit:
http://newsletter.mediaunspun.com/index000018838.cfm

MEDIA UNSPUN
What the Press is Reporting and Why (www.mediaunspun.com)
-----------------------------------------------------------------
August 12, 2002

-----------------------------------------------------------------
IN THIS ISSUE
-----------------------------------------------------------------
* BROTHER, CAN YOU SPARE A JET?
* REMEMBER GLOBAL CROSSING?
* OTHER STORIES

Media Unspun serves business news and analysis, authoritatively
and irreverently, every business day. An annual subscription
costs $50, less than a dollar a week. If your four-week free
trial is coming to an end soon, please visit
http://www.mediaunspun.com/subscribe.html and sign up via credit card 
or check.

-----------------------------------------------------------------
ADVERTISEMENT
-----------------------------------------------------------------
Ken Fisher offers his Quarterly Report for high net worth
investors FREE of cost & without obligation. Access the same
investment research he uses to guide his clients at:
http://pcg.fisherinvestments.com/newrespond/letter.asp?site=UN",0
