text,label
Your account has been suspended. Click here to verify your details immediately.,1
We detected unusual activity in your bank account. Login to confirm.,1
You’ve won a free iPhone! Click the link to claim now.,1
Update your billing info to avoid service interruption.,1
Amazon: Your package cannot be delivered. Reschedule here.,1
Please review the attached agenda before tomorrow's meeting.,0
Don’t forget the team lunch at 1PM today.,0
Can you send over the updated project plan by EOD?,0
Your order has been shipped. Track it using this link.,0
Let's connect on Zoom at 10 AM as discussed.,0
Final notice: Your Microsoft 365 subscription payment failed. Update payment info within 12 hours to avoid cancellation.,1
Your Spotify password will expire today. Reset it now: secure-update.net/login,1
Your reservation at The Grill House for 4 PM on Friday is confirmed.,0
Your reservation at The Corner Cafe for 6 PM on Wednesday is confirmed.,0
"Hi, this is eBay security team. We noticed a login from a new device. Confirm your password here: account-confirm.co/verify",1
You've been selected for a work-from-home job paying $500/week. Send your SSN and bank info to start.,1
We detected unusual activity in your Wells Fargo account. Login within 24 hours to confirm or your card will be blocked.,1
"Your manager needs you to buy $1000 in Walmart gift cards urgently, send the codes to this email.",1
"Hey, can you grab coffee Friday around 10 AM?",0
"You have been selected to receive $1000,000 from the Australian lottery. Reply with your bank details to claim.",1
Your order from Apple has shipped and should arrive by Thursday.,0
Netflix: Your package could not be delivered. Reschedule here: bit.ly/verify-now,1
Let's connect on Zoom at 2:30 PM as discussed.,0
"Hey, can you grab coffee Friday around 1 PM?",0
Quick question — are we still meeting at 6 PM Monday?,0
IRS Notice: You owe $1000 in unpaid taxes. Pay immediately via gift card to avoid arrest.,1
"Your manager needs you to buy $100 in Steam gift cards urgently, send the codes to this email.",1
Your reservation at Main Street Diner for 10 AM on Monday is confirmed.,0
"You have been selected to receive $250,000 from the UK National lottery. Reply with your bank details to claim.",1
Your Chase Bank account has been suspended. Click here to verify your details immediately.,1
Don't forget the team lunch at 11:30 AM today.,0
Your reservation at The Grill House for 10 AM on Wednesday is confirmed.,0
Double your Bitcoin investment in 24 hours! Send 2500 USD worth of BTC to this wallet to get started.,1
"Your manager needs you to buy $250 in Walmart gift cards urgently, send the codes to this email.",1
The marketing sync is moved to 10 AM on Thursday.,0
The product sync is moved to 9 AM on Tuesday.,0
Congratulations! You've won a PlayStation 5 from Netflix. Click the link to claim now before it expires.,1
"Thanks for the update, I'll take a look by Friday.",0
Quick question — are we still meeting at 6 PM this weekend?,0
Let's connect on Zoom at 11:30 AM as discussed.,0
"Hi, this is Instagram security team. We noticed a login from a new device. Confirm your password here: track-package.info",1
URGENT: Your invoice of $50 is overdue. Pay now to avoid legal action.,1
Your Bank of America debit card has been locked due to suspicious activity. Verify your PIN here: account-confirm.co/verify,1
"Your manager needs you to buy $500 in Apple gift cards urgently, send the codes to this email.",1
Here's this week's company newsletter with updates from the team.,0
Your computer has a virus. Call 1-800-555-0199 immediately for Microsoft support.,1
Update your Google billing info within 48 hours to avoid service interruption.,1
"Hey, can you grab coffee Thursday around 1 PM?",0
Let's connect on Zoom at 1 PM as discussed.,0
Your Citibank debit card has been locked due to suspicious activity. Verify your PIN here: account-confirm.co/verify,1
Reminder: your dentist appointment is on Monday at 1 PM.,0
"Thanks for the update, I'll take a look by EOD.",0
Your order from Target has shipped and should arrive by Friday.,0
"Looks like it's going to rain Wednesday, bring an umbrella.",0
Double your Bitcoin investment in 24 hours! Send 500 USD worth of BTC to this wallet to get started.,1
Your order from Apple has shipped and should arrive by Wednesday.,0
Final notice: Your Netflix subscription payment failed. Update payment info within 48 hours to avoid cancellation.,1
Could you review my pull request when you get a chance?,0
"You have been selected to receive $100,000 from the European lottery. Reply with your bank details to claim.",1
Let's connect on Zoom at 6 PM as discussed.,0
We detected unusual activity in your TD Bank account. Login within 24 hours to confirm or your card will be blocked.,1
Your computer has a virus. Call 1-877-555-0110 immediately for Bank of America support.,1
Happy birthday! Hope you have a great Wednesday.,0
Your computer has a virus. Call 1-800-555-0199 immediately for PayPal support.,1
The engineering sync is moved to 2:30 PM on Monday.,0
IRS Notice: You owe $500 in unpaid taxes. Pay immediately via gift card to avoid arrest.,1
The product sync is moved to 10 AM on Wednesday.,0
URGENT: Your invoice of $100 is overdue. Pay now to avoid legal action.,1
"Thanks for the update, I'll take a look by noon.",0
URGENT: Your invoice of $2500 is overdue. Pay now to avoid legal action.,1
Mom asked if you're coming home for dinner Friday.,0
Your Spotify password will expire today. Reset it now: account-confirm.co/verify,1
Happy birthday! Hope you have a great tomorrow.,0
Your Bank of America debit card has been locked due to suspicious activity. Verify your PIN here: secure-update.net/login,1
Let's connect on Zoom at 9 AM as discussed.,0
Your TD Bank debit card has been locked due to suspicious activity. Verify your PIN here: account-confirm.co/verify,1
Here's this week's team newsletter with updates from the team.,0
Final notice: Your Spotify subscription payment failed. Update payment info within 48 hours to avoid cancellation.,1
Mom asked if you're coming home for dinner Tuesday.,0
Can you send over the updated project plan by noon?,0
"Looks like it's going to rain Friday, bring an umbrella.",0
Final notice: Your Google subscription payment failed. Update payment info within 6 hours to avoid cancellation.,1
Happy birthday! Hope you have a great Tuesday.,0
"Hey, can you grab coffee Tuesday around 4 PM?",0
"Thanks for the update, I'll take a look by tomorrow morning.",0
Your iCloud password will expire today. Reset it now: bit.ly/verify-now,1
Your computer has a virus. Call 1-888-555-0142 immediately for Apple support.,1
Your order from Target has shipped and should arrive by tomorrow.,0
Don't forget the team lunch at 6 PM today.,0
Quick question — are we still meeting at 2:30 PM Wednesday?,0
"Hi, this is Chase Bank security team. We noticed a login from a new device. Confirm your password here: secure-update.net/login",1
Double your Bitcoin investment in 24 hours! Send 1000 USD worth of BTC to this wallet to get started.,1
Mom asked if you're coming home for dinner tomorrow.,0
Your Chase debit card has been locked due to suspicious activity. Verify your PIN here: bit.ly/verify-now,1
Your Amazon Prime password will expire today. Reset it now: bit.ly/verify-now,1
Your computer has a virus. Call 1-800-555-0199 immediately for LinkedIn support.,1
Happy birthday! Hope you have a great Monday.,0
Don't forget the team lunch at 9 AM today.,0
Final notice: Your Google subscription payment failed. Update payment info within 12 hours to avoid cancellation.,1
Update your Dropbox billing info within 24 hours to avoid service interruption.,1
Mom asked if you're coming home for dinner Wednesday.,0
Quick question — are we still meeting at 6 PM Friday?,0
Your order from Steam has shipped and should arrive by tomorrow.,0
Mom asked if you're coming home for dinner this weekend.,0
Apple: Your package could not be delivered. Reschedule here: track-package.info,1
Reminder: your dentist appointment is on Monday at 9 AM.,0
Quick question — are we still meeting at 10 AM this weekend?,0
Your TD Bank debit card has been locked due to suspicious activity. Verify your PIN here: secure-update.net/login,1
Your order from Amazon has shipped and should arrive by Monday.,0
Your reservation at Main Street Diner for 2:30 PM on Thursday is confirmed.,0
"You have been selected to receive $250,000 from the Australian lottery. Reply with your bank details to claim.",1
Don't forget the team lunch at 1 PM today.,0
Mom asked if you're coming home for dinner Thursday.,0
URGENT: Your invoice of $1000 is overdue. Pay now to avoid legal action.,1
FedEx: Your package could not be delivered. Reschedule here: bit.ly/verify-now,1
Reminder: your dentist appointment is on Friday at 9 AM.,0
We detected unusual activity in your Bank of America account. Login within 48 hours to confirm or your card will be blocked.,1
Reminder: your dentist appointment is on this weekend at 4 PM.,0
"Hi, this is UPS security team. We noticed a login from a new device. Confirm your password here: bit.ly/verify-now",1
You've been selected for a work-from-home job paying $2500/week. Send your SSN and bank info to start.,1
"Thanks for the update, I'll take a look by end of week.",0
Please review the attached agenda before Monday's meeting.,0
Quick question — are we still meeting at 2:30 PM Monday?,0
IRS Notice: You owe $100 in unpaid taxes. Pay immediately via gift card to avoid arrest.,1
Update your Spotify billing info within 12 hours to avoid service interruption.,1
Your reservation at Main Street Diner for 2:30 PM on Friday is confirmed.,0
"Hey, can you grab coffee Thursday around 10 AM?",0
